# these files were generated automatically, all changes will be lost
date authors
2000-05-01 4
2000-07-01 3
2000-11-01 2
2001-02-01 2
2001-05-01 5
2001-08-01 4
2001-11-01 4
2002-02-01 3
2002-05-01 2
2002-08-01 2
2002-11-01 2
2003-02-01 2
2003-05-01 1
2003-08-01 2
2003-11-01 3
2004-02-01 3
2004-05-01 3
2004-08-01 2
2004-11-01 3
2005-02-01 2
2005-05-01 2
2005-08-01 2
2005-11-01 2
2006-02-01 2
2006-05-01 4
2006-08-01 4
2006-11-01 4
2007-02-01 4
2007-05-01 4
2007-08-01 4
2007-11-01 3
2008-02-01 3
2008-05-01 2
2008-08-01 3
2008-11-01 4
2009-02-01 4
2009-05-01 4
2009-08-01 4
2009-11-01 3
2010-02-01 3
2010-05-01 3
2010-08-01 3
2010-11-01 3
2011-02-01 2
2011-05-01 3
2011-08-01 2
2011-11-01 5
2011-12-01 4
