# these files were generated automatically, all changes will be lost
# Dries Buytaert, Angie Byron, Steven Wittens, Gábor Hojtsy, Neil Drumm, Kjartan Mannes
date commits1 commits2 commits3 commits4 commits5 commits6
2000-05-01 20 0 0 0 0 3
2000-06-01 49 0 0 0 0 1
2000-07-01 18 0 0 0 0 0
2000-09-01 15 0 0 0 0 0
2000-10-01 35 0 1 0 0 0
2000-11-01 20 0 7 0 0 0
2000-12-01 51 0 0 0 0 0
2001-01-01 58 0 7 0 0 0
2001-02-01 33 0 3 0 0 0
2001-03-01 94 0 18 0 0 2
2001-04-01 70 0 9 0 0 2
2001-05-01 58 0 27 0 0 5
2001-06-01 87 0 15 0 0 13
2001-07-01 56 0 9 0 0 18
2001-08-01 28 0 0 0 0 7
2001-09-01 77 0 1 0 0 4
2001-10-01 45 0 0 0 0 9
2001-11-01 55 0 4 0 0 10
2001-12-01 58 0 7 0 0 4
2002-01-01 27 0 1 0 0 8
2002-02-01 11 0 1 0 0 8
2002-03-01 3 0 0 0 0 8
2002-04-01 14 0 5 0 0 20
2002-05-01 22 0 14 0 0 60
2002-06-01 29 0 7 0 0 21
2002-07-01 6 0 0 0 0 5
2002-08-01 30 0 0 0 0 0
2002-09-01 12 0 1 0 0 17
2002-10-01 28 0 2 0 0 14
2002-11-01 62 0 0 0 0 17
2002-12-01 118 0 0 0 0 4
2003-01-01 99 0 1 0 0 0
2003-02-01 61 0 0 0 0 5
2003-03-01 94 0 0 0 0 16
2003-04-01 53 0 0 0 0 0
2003-05-01 84 0 0 0 0 4
2003-06-01 117 0 5 0 0 1
2003-07-01 58 0 0 0 0 0
2003-08-01 75 0 0 0 0 4
2003-09-01 84 0 0 0 0 9
2003-10-01 105 0 1 0 0 9
2003-11-01 96 0 2 0 0 4
2003-12-01 128 0 8 0 0 13
2004-01-01 107 0 6 0 0 10
2004-02-01 81 0 21 0 0 15
2004-03-01 83 0 0 0 0 0
2004-04-01 57 0 8 0 0 9
2004-05-01 66 0 5 0 0 8
2004-06-01 73 0 5 0 0 8
2004-07-01 89 0 16 0 0 0
2004-08-01 89 0 55 0 0 0
2004-09-01 81 0 45 0 0 2
2004-10-01 87 0 39 0 0 0
2004-11-01 98 0 12 0 0 0
2004-12-01 63 0 20 0 0 0
2005-01-01 99 0 35 0 0 0
2005-02-01 38 0 28 0 0 0
2005-03-01 61 0 42 0 0 0
2005-04-01 110 0 34 0 0 0
2005-05-01 102 0 53 0 0 0
2005-06-01 49 0 20 0 0 0
2005-07-01 54 0 51 0 0 0
2005-08-01 96 0 25 0 0 1
2005-09-01 76 0 3 0 0 0
2005-10-01 59 0 26 0 0 0
2005-11-01 138 0 23 0 0 0
2005-12-01 149 0 27 0 0 0
2006-01-01 176 0 23 0 0 0
2006-02-01 102 0 24 0 0 0
2006-03-01 41 0 39 0 5 0
2006-04-01 12 0 64 0 16 0
2006-05-01 52 0 0 0 48 0
2006-06-01 43 0 2 0 12 0
2006-07-01 67 0 14 0 46 0
2006-08-01 107 0 18 0 68 0
2006-09-01 41 0 9 0 59 0
2006-10-01 90 0 30 0 22 5
2006-11-01 60 0 13 0 93 0
2006-12-01 110 0 66 0 29 0
2007-01-01 73 0 45 0 14 0
2007-02-01 36 0 5 0 15 0
2007-03-01 73 0 20 0 16 0
2007-04-01 75 0 10 4 26 0
2007-05-01 81 0 3 26 21 0
2007-06-01 61 0 14 42 15 0
2007-07-01 74 0 2 55 27 0
2007-08-01 49 0 0 80 5 0
2007-09-01 29 0 0 123 12 0
2007-10-01 46 0 0 114 14 0
2007-11-01 33 0 0 165 10 0
2007-12-01 19 0 0 181 23 0
2008-01-01 15 0 0 182 15 0
2008-02-01 57 0 0 75 18 0
2008-03-01 32 0 0 12 0 0
2008-04-01 67 0 0 13 6 0
2008-05-01 88 0 0 9 8 0
2008-06-01 83 0 0 14 5 0
2008-07-01 70 0 0 11 16 0
2008-08-01 133 4 0 0 12 0
2008-09-01 48 74 0 25 7 0
2008-10-01 97 75 0 19 8 0
2008-11-01 117 60 0 10 7 0
2008-12-01 86 9 0 16 15 0
2009-01-01 88 68 0 17 10 0
2009-02-01 27 53 0 25 7 0
2009-03-01 52 68 0 15 2 0
2009-04-01 121 44 0 21 4 0
2009-05-01 149 62 0 13 7 0
2009-06-01 148 68 0 17 2 0
2009-07-01 157 43 0 5 6 0
2009-08-01 142 186 0 13 0 0
2009-09-01 120 57 0 41 6 0
2009-10-01 163 111 0 6 0 0
2009-11-01 101 158 0 9 0 0
2009-12-01 177 90 0 13 2 0
2010-01-01 132 180 0 1 0 0
2010-02-01 123 94 0 12 0 0
2010-03-01 171 72 0 28 2 0
2010-04-01 154 95 0 0 0 0
2010-05-01 136 37 0 39 0 0
2010-06-01 137 44 0 20 0 0
2010-07-01 137 29 0 1 0 0
2010-08-01 112 54 0 25 2 0
2010-09-01 139 57 0 6 0 0
2010-10-01 126 134 0 0 0 0
2010-11-01 83 118 0 22 0 0
2010-12-01 32 127 0 21 0 0
2011-01-01 30 68 0 0 1 0
2011-02-01 45 0 0 0 0 0
2011-03-01 19 16 0 0 0 0
2011-04-01 122 8 0 0 0 0
2011-05-01 121 47 0 0 0 0
2011-06-01 13 136 0 0 0 0
2011-07-01 21 137 0 0 0 0
2011-08-01 85 45 0 0 0 0
2011-09-01 132 67 0 0 0 0
2011-10-01 28 89 0 0 0 0
2011-11-01 22 43 0 0 0 0
2011-12-01 30 66 0 0 0 0
