# these files were generated automatically, all changes will be lost
date authors
1997-01-01 5
1997-11-01 2
1997-12-01 12
1998-01-01 25
1998-02-01 26
1998-03-01 30
1998-04-01 25
1998-05-01 37
1998-06-01 38
1998-07-01 33
1998-08-01 44
1998-09-01 39
1998-10-01 36
1998-11-01 54
1998-12-01 56
1999-01-01 55
1999-02-01 50
1999-03-01 45
1999-04-01 52
1999-05-01 37
1999-06-01 47
1999-07-01 43
1999-08-01 51
1999-09-01 56
1999-10-01 56
1999-11-01 45
1999-12-01 48
2000-01-01 58
2000-02-01 68
2000-03-01 58
2000-04-01 82
2000-05-01 92
2000-06-01 77
2000-07-01 74
2000-08-01 78
2000-09-01 77
2000-10-01 96
2000-11-01 85
2000-12-01 90
2001-01-01 110
2001-02-01 113
2001-03-01 125
2001-04-01 99
2001-05-01 90
2001-06-01 81
2001-07-01 94
2001-08-01 104
2001-09-01 106
2001-10-01 110
2001-11-01 99
2001-12-01 102
2002-01-01 110
2002-02-01 115
2002-03-01 123
2002-04-01 109
2002-05-01 137
2002-06-01 107
2002-07-01 99
2002-08-01 129
2002-09-01 107
2002-10-01 104
2002-11-01 111
2002-12-01 112
2003-01-01 138
2003-02-01 138
2003-03-01 146
2003-04-01 115
2003-05-01 134
2003-06-01 141
2003-07-01 146
2003-08-01 150
2003-09-01 141
2003-10-01 114
2003-11-01 117
2003-12-01 148
2004-01-01 180
2004-02-01 174
2004-03-01 175
2004-04-01 132
2004-05-01 133
2004-06-01 118
2004-07-01 140
2004-08-01 154
2004-09-01 152
2004-10-01 134
2004-11-01 130
2004-12-01 125
2005-01-01 166
2005-02-01 145
2005-03-01 141
2005-04-01 136
2005-05-01 135
2005-06-01 126
2005-07-01 150
2005-08-01 179
2005-09-01 146
2005-10-01 130
2005-11-01 115
2005-12-01 115
2006-01-01 184
2006-02-01 138
2006-03-01 164
2006-04-01 155
2006-05-01 134
2006-06-01 131
2006-07-01 139
2006-08-01 151
2006-09-01 157
2006-10-01 122
2006-11-01 121
2006-12-01 135
2007-01-01 149
2007-02-01 141
2007-03-01 153
2007-04-01 141
2007-05-01 144
2007-06-01 155
2007-07-01 168
2007-08-01 178
2007-09-01 178
2007-10-01 158
2007-11-01 168
2007-12-01 185
2008-01-01 192
2008-02-01 214
2008-03-01 223
2008-04-01 175
2008-05-01 187
2008-06-01 187
2008-07-01 185
2008-08-01 235
2008-09-01 247
2008-10-01 222
2008-11-01 164
2008-12-01 149
2009-01-01 211
2009-02-01 230
2009-03-01 224
2009-04-01 247
2009-05-01 258
2009-06-01 224
2009-07-01 270
2009-08-01 302
2009-09-01 303
2009-10-01 278
2009-11-01 263
2009-12-01 213
2010-01-01 261
2010-02-01 285
2010-03-01 335
2010-04-01 286
2010-05-01 282
2010-06-01 235
2010-07-01 250
2010-08-01 275
2010-09-01 287
2010-10-01 238
2010-11-01 233
2010-12-01 225
2011-01-01 269
2011-02-01 251
2011-03-01 347
2011-04-01 292
2011-05-01 224
2011-06-01 238
2011-07-01 252
2011-08-01 251
2011-09-01 315
2011-10-01 244
2011-11-01 217
2011-12-01 204
