# these files were generated automatically, all changes will be lost
date authors
1997-01-01 5
1997-12-01 6
1998-03-01 27
1998-06-01 33
1998-09-01 38
1998-12-01 48
1999-03-01 50
1999-06-01 45
1999-09-01 50
1999-12-01 49
2000-03-01 61
2000-06-01 83
2000-09-01 76
2000-12-01 90
2001-03-01 116
2001-06-01 90
2001-09-01 101
2001-12-01 103
2002-03-01 116
2002-06-01 117
2002-09-01 111
2002-12-01 109
2003-03-01 140
2003-06-01 130
2003-09-01 145
2003-12-01 126
2004-03-01 176
2004-06-01 127
2004-09-01 148
2004-12-01 129
2005-03-01 150
2005-06-01 132
2005-09-01 158
2005-12-01 120
2006-03-01 162
2006-06-01 140
2006-09-01 149
2006-12-01 126
2007-03-01 147
2007-06-01 146
2007-09-01 174
2007-12-01 170
2008-03-01 209
2008-06-01 183
2008-09-01 222
2008-12-01 178
2009-03-01 221
2009-06-01 243
2009-09-01 291
2009-12-01 251
2010-03-01 293
2010-06-01 267
2010-09-01 270
2010-12-01 232
2011-03-01 289
2011-06-01 251
2011-09-01 272
2011-12-01 221
