# these files were generated automatically, all changes will be lost
# Matthias Clasen, Owen Taylor, Christian Persch, Alexander Larsson, Emmanuele Bassi, Kjartan Maraas
date commits1 commits2 commits3 commits4 commits5 commits6
1997-01-01 0 1 0 0 0 0
1997-11-01 0 0 0 0 0 0
1997-12-01 0 47 0 0 0 0
1998-01-01 0 26 0 0 0 0
1998-02-01 0 84 0 0 0 0
1998-03-01 0 109 0 0 0 0
1998-04-01 0 85 0 0 0 8
1998-05-01 0 99 0 0 0 13
1998-06-01 0 43 0 0 0 0
1998-07-01 0 28 0 0 0 0
1998-08-01 0 69 0 0 0 0
1998-09-01 0 42 0 0 0 0
1998-10-01 0 37 0 0 0 19
1998-11-01 0 45 0 0 0 17
1998-12-01 0 126 0 0 0 42
1999-01-01 0 120 0 0 0 22
1999-02-01 0 87 0 0 0 23
1999-03-01 0 14 0 0 0 46
1999-04-01 0 32 0 0 0 20
1999-05-01 0 25 0 0 0 9
1999-06-01 0 21 0 0 0 16
1999-07-01 0 13 0 0 0 28
1999-08-01 0 38 0 0 0 29
1999-09-01 0 64 0 0 0 91
1999-10-01 0 37 0 0 0 16
1999-11-01 0 26 0 0 0 12
1999-12-01 0 7 0 0 0 14
2000-01-01 0 88 0 0 0 43
2000-02-01 0 70 0 0 0 21
2000-03-01 0 33 0 0 0 18
2000-04-01 0 37 0 0 0 49
2000-05-01 0 56 0 0 0 80
2000-06-01 0 66 0 0 0 17
2000-07-01 0 92 0 0 0 19
2000-08-01 0 32 0 0 0 33
2000-09-01 0 60 0 0 0 25
2000-10-01 0 43 0 0 0 39
2000-11-01 0 101 0 40 0 25
2000-12-01 0 34 0 50 0 23
2001-01-01 0 72 0 40 0 23
2001-02-01 0 99 0 24 0 60
2001-03-01 0 81 0 36 0 52
2001-04-01 0 80 0 15 0 19
2001-05-01 0 106 0 21 0 29
2001-06-01 0 77 0 16 0 24
2001-07-01 1 68 0 0 0 32
2001-08-01 48 64 0 17 0 80
2001-09-01 27 125 0 14 0 67
2001-10-01 90 98 0 0 0 10
2001-11-01 54 188 0 13 0 10
2001-12-01 67 88 0 10 0 73
2002-01-01 54 211 0 21 0 99
2002-02-01 51 256 0 22 0 124
2002-03-01 58 237 0 24 0 64
2002-04-01 52 45 0 32 0 49
2002-05-01 59 173 0 11 0 72
2002-06-01 22 176 0 14 0 39
2002-07-01 38 120 0 12 0 30
2002-08-01 19 69 0 16 0 15
2002-09-01 49 149 0 32 0 17
2002-10-01 65 161 0 24 0 46
2002-11-01 109 122 0 20 0 40
2002-12-01 105 202 0 30 0 18
2003-01-01 62 85 0 27 0 41
2003-02-01 71 22 0 15 0 24
2003-03-01 92 20 1 57 0 7
2003-04-01 53 151 5 18 0 18
2003-05-01 88 96 19 22 0 24
2003-06-01 133 109 63 18 0 16
2003-07-01 129 109 48 10 0 13
2003-08-01 141 206 27 9 0 36
2003-09-01 88 30 54 30 0 18
2003-10-01 77 52 54 17 0 11
2003-11-01 98 11 87 32 0 10
2003-12-01 91 9 89 51 0 15
2004-01-01 130 22 116 46 0 84
2004-02-01 195 84 70 42 0 49
2004-03-01 89 137 88 47 0 25
2004-04-01 88 2 52 12 0 7
2004-05-01 248 18 123 5 0 6
2004-06-01 196 33 82 9 0 3
2004-07-01 412 53 80 8 0 15
2004-08-01 405 13 123 24 0 85
2004-09-01 273 15 97 19 0 16
2004-10-01 390 6 124 40 0 22
2004-11-01 401 30 158 60 0 32
2004-12-01 225 41 105 16 0 22
2005-01-01 244 30 120 35 0 70
2005-02-01 220 15 80 22 0 82
2005-03-01 285 43 58 16 0 17
2005-04-01 288 7 60 4 0 8
2005-05-01 326 32 67 12 0 24
2005-06-01 351 40 33 25 0 55
2005-07-01 291 58 139 26 0 53
2005-08-01 344 39 94 9 0 40
2005-09-01 239 0 58 14 0 26
2005-10-01 182 3 82 27 1 13
2005-11-01 245 0 66 33 1 30
2005-12-01 296 0 34 41 40 31
2006-01-01 299 0 88 5 42 75
2006-02-01 143 0 74 23 22 29
2006-03-01 303 0 37 34 22 15
2006-04-01 332 0 44 57 23 71
2006-05-01 244 0 43 37 8 29
2006-06-01 346 0 34 18 36 18
2006-07-01 147 0 46 2 34 0
2006-08-01 192 0 50 19 30 44
2006-09-01 148 0 28 2 4 9
2006-10-01 93 0 32 13 4 34
2006-11-01 14 0 16 28 45 10
2006-12-01 357 0 86 17 32 60
2007-01-01 322 0 74 7 41 43
2007-02-01 46 2 23 17 17 41
2007-03-01 172 0 32 26 59 7
2007-04-01 215 0 10 15 39 11
2007-05-01 183 0 28 10 41 32
2007-06-01 188 0 28 2 74 35
2007-07-01 231 1 65 7 82 6
2007-08-01 18 0 25 7 142 46
2007-09-01 93 0 59 432 85 29
2007-10-01 50 8 42 138 141 32
2007-11-01 215 0 8 83 97 20
2007-12-01 156 0 180 100 71 65
2008-01-01 126 0 45 188 72 79
2008-02-01 173 0 42 171 74 45
2008-03-01 147 3 288 123 61 26
2008-04-01 78 0 45 0 102 43
2008-05-01 117 1 309 0 56 40
2008-06-01 214 0 139 0 120 57
2008-07-01 294 0 11 2 31 42
2008-08-01 154 0 50 0 23 38
2008-09-01 275 3 76 11 30 21
2008-10-01 137 20 174 74 39 25
2008-11-01 112 99 90 8 49 17
2008-12-01 325 17 50 174 135 18
2009-01-01 240 17 48 181 188 71
2009-02-01 126 26 85 116 86 25
2009-03-01 94 12 89 101 68 31
2009-04-01 115 26 46 69 70 6
2009-05-01 149 30 78 96 135 1
2009-06-01 155 97 74 170 150 28
2009-07-01 186 20 9 93 80 21
2009-08-01 146 74 64 104 94 59
2009-09-01 149 115 21 111 77 74
2009-10-01 87 27 35 21 141 18
2009-11-01 156 7 31 73 126 19
2009-12-01 155 5 25 146 89 25
2010-01-01 160 4 24 58 118 83
2010-02-01 209 27 15 11 155 21
2010-03-01 217 36 72 18 97 38
2010-04-01 238 17 52 4 46 0
2010-05-01 255 47 47 4 86 45
2010-06-01 276 7 66 3 126 44
2010-07-01 157 14 14 51 116 29
2010-08-01 151 14 63 0 163 35
2010-09-01 196 34 116 0 172 31
2010-10-01 278 53 60 0 121 29
2010-11-01 246 92 24 80 107 21
2010-12-01 346 21 14 12 79 29
2011-01-01 383 42 7 7 110 87
2011-02-01 263 44 27 42 118 73
2011-03-01 190 57 4 69 57 121
2011-04-01 163 17 19 97 77 15
2011-05-01 198 10 117 94 38 22
2011-06-01 494 6 118 99 157 41
2011-07-01 188 11 2 14 83 54
2011-08-01 193 9 15 128 36 61
2011-09-01 159 16 70 104 90 43
2011-10-01 202 6 22 94 108 31
2011-11-01 235 2 116 104 157 19
2011-12-01 181 0 30 145 151 42
