# these files were generated automatically, all changes will be lost
date authors
1997-04-01 2
1997-05-01 5
1997-06-01 4
1997-07-01 5
1997-08-01 10
1997-09-01 12
1997-10-01 17
1997-11-01 16
1997-12-01 15
1998-01-01 19
1998-02-01 14
1998-03-01 19
1998-04-01 24
1998-05-01 17
1998-06-01 23
1998-07-01 22
1998-08-01 21
1998-09-01 21
1998-10-01 27
1998-11-01 33
1998-12-01 29
1999-01-01 36
1999-02-01 33
1999-03-01 36
1999-04-01 39
1999-05-01 41
1999-06-01 46
1999-07-01 42
1999-08-01 42
1999-09-01 33
1999-10-01 54
1999-11-01 57
1999-12-01 51
2000-01-01 52
2000-02-01 48
2000-03-01 69
2000-04-01 71
2000-05-01 70
2000-06-01 70
2000-07-01 78
2000-08-01 62
2000-09-01 68
2000-10-01 69
2000-11-01 67
2000-12-01 67
2001-01-01 80
2001-02-01 80
2001-03-01 87
2001-04-01 86
2001-05-01 93
2001-06-01 84
2001-07-01 80
2001-08-01 75
2001-09-01 77
2001-10-01 84
2001-11-01 90
2001-12-01 85
2002-01-01 114
2002-02-01 97
2002-03-01 106
2002-04-01 117
2002-05-01 86
2002-06-01 94
2002-07-01 95
2002-08-01 85
2002-09-01 113
2002-10-01 89
2002-11-01 82
2002-12-01 100
2003-01-01 107
2003-02-01 103
2003-03-01 85
2003-04-01 90
2003-05-01 86
2003-06-01 86
2003-07-01 91
2003-08-01 102
2003-09-01 109
2003-10-01 106
2003-11-01 87
2003-12-01 79
2004-01-01 94
2004-02-01 93
2004-03-01 85
2004-04-01 87
2004-05-01 96
2004-06-01 106
2004-07-01 96
2004-08-01 88
2004-09-01 94
2004-10-01 106
2004-11-01 93
2004-12-01 90
2005-01-01 107
2005-02-01 95
2005-03-01 87
2005-04-01 72
2005-05-01 106
2005-06-01 90
2005-07-01 96
2005-08-01 81
2005-09-01 98
2005-10-01 87
2005-11-01 72
2005-12-01 82
2006-01-01 82
2006-02-01 80
2006-03-01 97
2006-04-01 98
2006-05-01 87
2006-06-01 75
2006-07-01 84
2006-08-01 85
2006-09-01 110
2006-10-01 82
2006-11-01 77
2006-12-01 71
2007-01-01 81
2007-02-01 92
2007-03-01 108
2007-04-01 121
2007-05-01 103
2007-06-01 138
2007-07-01 139
2007-08-01 133
2007-09-01 127
2007-10-01 158
2007-11-01 146
2007-12-01 134
2008-01-01 138
2008-02-01 138
2008-03-01 120
2008-04-01 144
2008-05-01 146
2008-06-01 140
2008-07-01 140
2008-08-01 151
2008-09-01 137
2008-10-01 149
2008-11-01 159
2008-12-01 161
2009-01-01 170
2009-02-01 159
2009-03-01 151
2009-04-01 152
2009-05-01 152
2009-06-01 146
2009-07-01 149
2009-08-01 152
2009-09-01 150
2009-10-01 142
2009-11-01 159
2009-12-01 137
2010-01-01 141
2010-02-01 130
2010-03-01 138
2010-04-01 128
2010-05-01 143
2010-06-01 117
2010-07-01 147
2010-08-01 126
2010-09-01 140
2010-10-01 121
2010-11-01 125
2010-12-01 126
2011-01-01 127
2011-02-01 104
2011-03-01 97
2011-04-01 101
2011-05-01 96
2011-06-01 99
2011-07-01 97
2011-08-01 103
2011-09-01 88
2011-10-01 88
2011-11-01 87
2011-12-01 91
