# these files were generated automatically, all changes will be lost
date authors
1997-04-01 2
1997-06-01 3
1997-09-01 9
1997-12-01 16
1998-03-01 17
1998-06-01 21
1998-09-01 21
1998-12-01 29
1999-03-01 35
1999-06-01 42
1999-09-01 39
1999-12-01 54
2000-03-01 56
2000-06-01 70
2000-09-01 69
2000-12-01 67
2001-03-01 82
2001-06-01 87
2001-09-01 77
2001-12-01 86
2002-03-01 105
2002-06-01 99
2002-09-01 97
2002-12-01 90
2003-03-01 98
2003-06-01 87
2003-09-01 100
2003-12-01 90
2004-03-01 90
2004-06-01 96
2004-09-01 92
2004-12-01 96
2005-03-01 96
2005-06-01 89
2005-09-01 91
2005-12-01 80
2006-03-01 86
2006-06-01 86
2006-09-01 93
2006-12-01 76
2007-03-01 93
2007-06-01 120
2007-09-01 133
2007-12-01 146
2008-03-01 132
2008-06-01 143
2008-09-01 142
2008-12-01 156
2009-03-01 160
2009-06-01 150
2009-09-01 150
2009-12-01 146
2010-03-01 136
2010-06-01 129
2010-09-01 137
2010-12-01 124
2011-03-01 109
2011-06-01 98
2011-09-01 96
2011-12-01 88
