# these files were generated automatically, all changes will be lost
# David Faure, Script Kiddy, Aaron J. Seigo, Laurent Montel, Dirk Mueller, Stephan Kulow, Marco Martin
date commits1 commits2 commits3 commits4 commits5 commits6 commits7
1997-04-01 0 0 0 0 0 53 0
1997-05-01 0 0 0 0 0 30 0
1997-06-01 0 0 0 0 0 13 0
1997-07-01 0 0 0 0 0 44 0
1997-08-01 0 0 0 0 0 51 0
1997-09-01 0 0 0 0 0 46 0
1997-10-01 0 0 0 0 0 107 0
1997-11-01 0 0 0 0 0 58 0
1997-12-01 0 0 0 0 0 46 0
1998-01-01 0 0 0 0 0 97 0
1998-02-01 0 0 0 0 0 67 0
1998-03-01 0 0 0 0 0 74 0
1998-04-01 6 1 0 0 0 47 0
1998-05-01 0 0 0 0 0 49 0
1998-06-01 0 0 0 0 0 58 0
1998-07-01 3 0 0 0 0 20 0
1998-08-01 0 0 0 0 0 15 0
1998-09-01 4 0 0 0 0 34 0
1998-10-01 1 0 0 0 0 38 0
1998-11-01 11 1 0 0 0 31 0
1998-12-01 38 0 0 0 0 56 0
1999-01-01 6 0 0 0 0 93 0
1999-02-01 64 1 0 0 0 39 0
1999-03-01 140 0 0 0 0 86 0
1999-04-01 111 2 0 0 2 66 0
1999-05-01 119 5 0 0 21 131 0
1999-06-01 73 0 0 0 39 197 0
1999-07-01 20 9 0 0 40 53 0
1999-08-01 8 4 0 0 4 67 0
1999-09-01 65 4 0 0 17 21 0
1999-10-01 217 32 0 0 26 74 0
1999-11-01 338 27 0 0 29 82 0
1999-12-01 114 44 0 0 4 115 0
2000-01-01 178 55 0 0 11 93 0
2000-02-01 220 26 0 0 15 166 0
2000-03-01 277 44 0 1 41 39 0
2000-04-01 267 53 0 0 8 14 0
2000-05-01 300 90 0 0 22 69 0
2000-06-01 371 73 0 0 21 74 0
2000-07-01 358 45 0 0 95 124 0
2000-08-01 188 57 0 0 14 38 0
2000-09-01 231 94 0 0 132 65 0
2000-10-01 267 71 0 1 74 80 0
2000-11-01 306 29 0 2 82 13 0
2000-12-01 254 29 0 0 63 10 0
2001-01-01 281 54 0 1 74 106 0
