# these files were generated automatically, all changes will be lost
date authors
1999-04-01 11
1999-05-01 10
1999-06-01 10
1999-07-01 15
1999-08-01 19
1999-09-01 22
1999-10-01 17
1999-11-01 25
1999-12-01 23
2000-01-01 16
2000-02-01 23
2000-03-01 30
2000-04-01 30
2000-05-01 27
2000-06-01 30
2000-07-01 36
2000-08-01 39
2000-09-01 36
2000-10-01 39
2000-11-01 41
2000-12-01 36
2001-01-01 45
2001-02-01 40
2001-03-01 45
2001-04-01 44
2001-05-01 45
2001-06-01 38
2001-07-01 45
2001-08-01 43
2001-09-01 39
2001-10-01 36
2001-11-01 40
2001-12-01 45
2002-01-01 45
2002-02-01 45
2002-03-01 51
2002-04-01 43
2002-05-01 45
2002-06-01 42
2002-07-01 45
2002-08-01 54
2002-09-01 45
2002-10-01 53
2002-11-01 56
2002-12-01 40
2003-01-01 44
2003-02-01 48
2003-03-01 41
2003-04-01 40
2003-05-01 40
2003-06-01 37
2003-07-01 40
2003-08-01 35
2003-09-01 30
2003-10-01 41
2003-11-01 33
2003-12-01 36
2004-01-01 39
2004-02-01 39
2004-03-01 40
2004-04-01 27
2004-05-01 32
2004-06-01 31
2004-07-01 34
2004-08-01 35
2004-09-01 28
2004-10-01 23
2004-11-01 26
2004-12-01 26
2005-01-01 27
2005-02-01 29
2005-03-01 34
2005-04-01 34
2005-05-01 26
2005-06-01 31
2005-07-01 27
2005-08-01 28
2005-09-01 23
2005-10-01 28
2005-11-01 24
2005-12-01 28
2006-01-01 26
2006-02-01 24
2006-03-01 31
2006-04-01 22
2006-05-01 27
2006-06-01 23
2006-07-01 25
2006-08-01 20
2006-09-01 22
2006-10-01 24
2006-11-01 23
2006-12-01 24
2007-01-01 23
2007-02-01 22
2007-03-01 27
2007-04-01 27
2007-05-01 23
2007-06-01 19
2007-07-01 23
2007-08-01 23
2007-09-01 20
2007-10-01 33
2007-11-01 26
2007-12-01 28
2008-01-01 34
2008-02-01 29
2008-03-01 32
2008-04-01 29
2008-05-01 32
2008-06-01 38
2008-07-01 39
2008-08-01 40
2008-09-01 27
2008-10-01 27
2008-11-01 38
2008-12-01 35
2009-01-01 31
2009-02-01 31
2009-03-01 35
2009-04-01 35
2009-05-01 33
2009-06-01 37
2009-07-01 31
2009-08-01 27
2009-09-01 22
2009-10-01 23
2009-11-01 27
2009-12-01 24
2010-01-01 25
2010-02-01 20
2010-03-01 25
2010-04-01 20
2010-05-01 27
2010-06-01 20
2010-07-01 23
2010-08-01 18
2010-09-01 17
2010-10-01 15
2010-11-01 26
2010-12-01 25
2011-01-01 22
2011-02-01 19
2011-03-01 23
2011-04-01 16
2011-05-01 25
2011-06-01 26
2011-07-01 30
2011-08-01 34
2011-09-01 32
2011-10-01 21
2011-11-01 30
2011-12-01 20
