# these files were generated automatically, all changes will be lost
date authors
1999-04-01 11
1999-06-01 10
1999-09-01 18
1999-12-01 21
2000-03-01 23
2000-06-01 29
2000-09-01 37
2000-12-01 38
2001-03-01 43
2001-06-01 42
2001-09-01 42
2001-12-01 40
2002-03-01 47
2002-06-01 43
2002-09-01 48
2002-12-01 49
2003-03-01 44
2003-06-01 39
2003-09-01 35
2003-12-01 36
2004-03-01 39
2004-06-01 30
2004-09-01 32
2004-12-01 25
2005-03-01 30
2005-06-01 30
2005-09-01 26
2005-12-01 26
2006-03-01 27
2006-06-01 24
2006-09-01 22
2006-12-01 23
2007-03-01 24
2007-06-01 23
2007-09-01 22
2007-12-01 29
2008-03-01 31
2008-06-01 33
2008-09-01 35
2008-12-01 33
2009-03-01 32
2009-06-01 35
2009-09-01 26
2009-12-01 24
2010-03-01 23
2010-06-01 22
2010-09-01 19
2010-12-01 22
2011-03-01 21
2011-06-01 22
2011-09-01 32
2011-12-01 23
