# these files were generated automatically, all changes will be lost
# iliaa, helly, tony2001, sniper, changelog, pajoye, dmitry
date commits1 commits2 commits3 commits4 commits5 commits6 commits7
1999-04-01 0 0 0 0 0 0 0
1999-05-01 0 0 0 0 0 0 0
1999-06-01 0 0 0 0 0 0 0
1999-07-01 0 0 0 0 0 0 0
1999-08-01 0 0 0 0 0 0 0
1999-09-01 0 0 0 0 0 0 0
1999-10-01 0 0 0 0 33 0 0
1999-11-01 0 0 0 0 49 0 0
1999-12-01 0 0 0 0 54 0 0
2000-01-01 0 0 0 0 12 0 0
2000-02-01 0 0 0 0 45 0 0
2000-03-01 0 0 0 0 32 0 0
2000-04-01 0 0 0 0 26 0 0
2000-05-01 0 0 0 0 44 0 0
2000-06-01 0 0 0 0 49 0 0
2000-07-01 0 0 0 13 57 0 0
2000-08-01 0 0 0 5 47 0 0
2000-09-01 0 0 0 13 36 0 0
2000-10-01 0 0 0 21 41 0 0
2000-11-01 0 0 0 30 43 0 0
2000-12-01 0 0 0 26 36 0 0
2001-01-01 0 0 0 19 44 0 0
2001-02-01 0 0 0 2 40 0 0
2001-03-01 0 0 0 44 40 0 0
2001-04-01 0 0 0 26 35 0 0
2001-05-01 0 0 0 90 43 0 0
2001-06-01 0 0 0 63 0 0 0
2001-07-01 0 0 0 21 32 0 0
2001-08-01 0 0 0 98 44 0 0
2001-09-01 0 0 0 18 40 0 0
2001-10-01 0 0 0 41 49 0 0
2001-11-01 0 0 0 43 41 0 0
2001-12-01 0 0 0 18 40 0 0
2002-01-01 1 0 0 5 42 0 0
2002-02-01 0 2 0 6 35 0 0
2002-03-01 0 74 0 79 45 0 0
2002-04-01 0 32 0 107 44 0 0
2002-05-01 0 0 0 31 43 0 0
2002-06-01 0 26 0 61 44 0 0
2002-07-01 0 13 0 82 45 0 0
2002-08-01 20 115 0 53 43 7 0
2002-09-01 36 5 0 48 40 0 0
2002-10-01 95 92 0 81 45 4 0
2002-11-01 132 205 0 29 5 0 0
2002-12-01 139 99 0 31 17 10 0
2003-01-01 164 30 0 61 37 3 0
2003-02-01 117 45 0 203 37 4 0
2003-03-01 64 38 0 130 38 3 0
2003-04-01 69 55 0 88 11 2 0
