# these files were generated automatically, all changes will be lost
date authors
2002-02-01 5
2002-03-01 4
2002-04-01 5
2002-05-01 2
2002-06-01 4
2002-07-01 7
2002-08-01 7
2002-09-01 11
2002-10-01 9
2002-11-01 9
2002-12-01 5
2003-01-01 10
2003-02-01 10
2003-03-01 14
2003-04-01 16
2003-05-01 17
2003-06-01 21
2003-07-01 19
2003-08-01 18
2003-09-01 38
2003-10-01 29
2003-11-01 27
2003-12-01 35
2004-01-01 28
2004-02-01 38
2004-03-01 31
2004-04-01 31
2004-05-01 30
2004-06-01 23
2004-07-01 25
2004-08-01 24
2004-09-01 17
2004-10-01 17
2004-11-01 16
2004-12-01 17
2005-01-01 15
2005-02-01 29
2005-03-01 26
2005-04-01 30
2005-05-01 30
2005-06-01 37
2005-07-01 31
2005-08-01 29
2005-09-01 16
2005-10-01 24
2005-11-01 21
2005-12-01 30
2006-01-01 33
2006-02-01 29
2006-03-01 28
2006-04-01 26
2006-05-01 25
2006-06-01 28
2006-07-01 14
2006-08-01 25
2006-09-01 22
2006-10-01 22
2006-11-01 21
2006-12-01 25
2007-01-01 20
2007-02-01 37
2007-03-01 46
2007-04-01 35
2007-05-01 25
2007-06-01 32
2007-07-01 28
2007-08-01 35
2007-09-01 31
2007-10-01 32
2007-11-01 35
2007-12-01 27
2008-01-01 24
2008-02-01 30
2008-03-01 32
2008-04-01 27
2008-05-01 20
2008-06-01 25
2008-07-01 28
2008-08-01 32
2008-09-01 27
2008-10-01 31
2008-11-01 38
2008-12-01 35
2009-01-01 31
2009-02-01 31
2009-03-01 31
2009-04-01 32
2009-05-01 27
2009-06-01 26
2009-07-01 28
2009-08-01 51
2009-09-01 46
2009-10-01 65
2009-11-01 57
2009-12-01 43
2010-01-01 44
2010-02-01 45
2010-03-01 56
2010-04-01 50
2010-05-01 49
2010-06-01 41
2010-07-01 50
2010-08-01 57
2010-09-01 46
2010-10-01 55
2010-11-01 51
2010-12-01 38
2011-01-01 35
2011-02-01 41
2011-03-01 34
2011-04-01 38
2011-05-01 50
2011-06-01 49
2011-07-01 45
2011-08-01 48
2011-09-01 49
2011-10-01 38
2011-11-01 70
2011-12-01 42
