# these files were generated automatically, all changes will be lost
date authors
2002-02-01 5
2002-04-01 4
2002-07-01 4
2002-10-01 9
2003-01-01 8
2003-04-01 13
2003-07-01 19
2003-10-01 28
2004-01-01 30
2004-04-01 33
2004-07-01 26
2004-10-01 19
2005-01-01 16
2005-04-01 28
2005-07-01 32
2005-10-01 23
2006-01-01 28
2006-04-01 27
2006-07-01 22
2006-10-01 23
2007-01-01 22
2007-04-01 39
2007-07-01 28
2007-10-01 32
2008-01-01 28
2008-04-01 29
2008-07-01 24
2008-10-01 30
2009-01-01 34
2009-04-01 31
2009-07-01 27
2009-10-01 54
2010-01-01 48
2010-04-01 50
2010-07-01 46
2010-10-01 52
2011-01-01 41
2011-04-01 37
2011-07-01 48
2011-10-01 45
2011-12-01 50
