# these files were generated automatically, all changes will be lost
# Hanno Schlichting, Martin Aspeli, Alexander Limi, David Glick, Wichert Akkerman, Eric Steele
date commits1 commits2 commits3 commits4 commits5 commits6
2002-02-01 0 0 2 0 0 0
2002-03-01 0 0 0 0 0 0
2002-04-01 0 0 14 0 0 0
2002-05-01 0 0 108 0 0 0
2002-06-01 0 0 13 0 0 0
2002-07-01 0 0 7 0 0 0
2002-08-01 0 0 12 0 0 0
2002-09-01 0 0 49 0 0 0
2002-10-01 0 0 0 0 0 0
2002-11-01 0 0 55 0 0 0
2002-12-01 0 0 17 0 0 0
2003-01-01 0 0 66 0 0 0
2003-02-01 0 0 28 0 0 0
2003-03-01 0 0 11 0 0 0
2003-04-01 0 0 15 0 0 0
2003-05-01 0 0 20 0 0 0
2003-06-01 0 0 51 0 0 0
2003-07-01 0 0 20 0 0 0
2003-08-01 0 0 17 0 0 0
2003-09-01 0 0 70 0 0 0
2003-10-01 0 0 41 0 0 0
2003-11-01 0 0 38 0 0 0
2003-12-01 0 0 77 0 0 0
2004-01-01 0 0 55 0 0 0
2004-02-01 0 0 36 0 0 0
2004-03-01 0 0 30 0 0 0
2004-04-01 0 0 42 0 0 0
2004-05-01 0 0 24 0 0 0
2004-06-01 0 0 35 0 0 0
2004-07-01 0 0 30 0 0 0
2004-08-01 0 0 1 0 0 0
2004-09-01 0 0 11 0 0 0
2004-10-01 0 0 37 0 0 0
2004-11-01 0 0 22 0 0 0
2004-12-01 0 0 6 0 0 0
2005-01-01 0 0 6 0 0 0
2005-02-01 0 2 1 0 0 0
2005-03-01 0 15 18 0 0 0
2005-04-01 1 24 39 0 0 0
2005-05-01 16 20 67 0 0 0
2005-06-01 35 4 12 0 0 0
2005-07-01 59 38 49 0 0 0
2005-08-01 19 10 64 0 0 0
2005-09-01 34 0 24 0 0 0
2005-10-01 86 0 8 0 0 0
2005-11-01 33 10 2 0 3 0
2005-12-01 104 9 38 0 18 0
2006-01-01 79 1 44 0 37 0
2006-02-01 54 8 17 0 77 0
2006-03-01 88 16 16 0 7 0
2006-04-01 65 3 7 0 43 0
2006-05-01 123 4 2 0 43 0
2006-06-01 158 5 28 0 28 0
2006-07-01 63 0 6 0 14 0
2006-08-01 74 72 7 0 2 0
2006-09-01 100 32 7 0 14 0
2006-10-01 82 15 6 0 60 0
2006-11-01 58 8 12 0 19 0
2006-12-01 107 95 1 0 21 0
2007-01-01 65 19 18 0 19 0
2007-02-01 142 154 46 0 129 0
2007-03-01 293 101 54 0 128 0
2007-04-01 65 89 183 0 122 0
2007-05-01 178 78 29 0 25 0
2007-06-01 132 52 44 0 71 0
2007-07-01 103 69 48 0 122 0
2007-08-01 125 62 72 0 60 0
2007-09-01 16 38 17 0 33 0
2007-10-01 60 51 4 0 45 0
2007-11-01 47 34 3 0 48 0
2007-12-01 75 38 3 0 47 0
2008-01-01 53 39 1 0 60 0
2008-02-01 30 17 4 0 75 0
2008-03-01 101 69 3 1 79 0
2008-04-01 51 61 1 1 71 0
2008-05-01 50 5 0 0 27 0
2008-06-01 32 63 0 14 48 2
2008-07-01 79 73 3 14 61 0
2008-08-01 91 61 0 23 24 1
2008-09-01 8 8 0 2 16 0
2008-10-01 59 5 0 32 32 0
2008-11-01 210 0 4 32 15 0
2008-12-01 58 31 4 23 14 0
2009-01-01 204 21 16 38 28 0
2009-02-01 111 16 1 15 14 0
2009-03-01 101 112 10 23 59 4
2009-04-01 86 95 7 22 34 0
2009-05-01 128 38 0 44 42 0
2009-06-01 98 42 7 29 12 7
2009-07-01 65 66 0 116 25 9
2009-08-01 13 23 80 57 48 52
2009-09-01 100 86 13 50 4 28
2009-10-01 221 73 23 64 3 64
2009-11-01 281 70 32 106 8 82
2009-12-01 272 32 1 30 4 45
2010-01-01 172 156 19 26 9 126
2010-02-01 155 41 44 38 7 103
2010-03-01 103 23 39 125 5 59
2010-04-01 115 67 71 117 31 69
2010-05-01 75 26 1 29 22 55
2010-06-01 190 24 53 45 1 51
2010-07-01 482 7 0 32 17 41
2010-08-01 97 52 0 28 6 18
2010-09-01 80 3 0 50 9 44
2010-10-01 60 10 0 20 0 28
2010-11-01 59 38 0 71 0 27
2010-12-01 49 3 0 34 0 11
2011-01-01 32 3 0 33 0 171
2011-02-01 38 49 0 44 0 118
2011-03-01 6 1 0 46 0 50
2011-04-01 83 55 0 115 1 83
2011-05-01 163 7 0 93 0 81
2011-06-01 80 66 0 156 0 222
2011-07-01 67 36 1 111 0 108
2011-08-01 12 0 0 29 0 71
2011-09-01 6 54 0 72 0 68
2011-10-01 9 14 0 16 0 35
2011-11-01 3 4 2 49 0 81
2011-12-01 0 28 0 29 0 17
