# these files were generated automatically, all changes will be lost
date authors
1990-08-01 1
1990-10-01 1
1991-01-01 1
1991-04-01 1
1991-07-01 1
1991-10-01 1
1992-01-01 1
1992-04-01 1
1992-07-01 1
1992-10-01 2
1993-01-01 2
1993-04-01 2
1993-07-01 2
1993-10-01 1
1994-01-01 2
1994-04-01 1
1994-07-01 2
1994-10-01 2
1995-01-01 3
1995-04-01 4
1995-07-01 4
1995-10-01 4
1996-01-01 3
1996-04-01 3
1996-07-01 2
1996-10-01 4
1997-01-01 4
1997-04-01 3
1997-07-01 4
1997-10-01 5
1998-01-01 4
1998-04-01 5
1998-07-01 5
1998-10-01 6
1999-01-01 6
1999-04-01 7
1999-07-01 5
1999-10-01 6
2000-01-01 6
2000-04-01 8
2000-07-01 14
2000-10-01 22
2001-01-01 15
2001-04-01 19
2001-07-01 18
2001-10-01 21
2002-01-01 18
2002-04-01 20
2002-07-01 23
2002-10-01 23
2003-01-01 25
2003-04-01 24
2003-07-01 25
2003-10-01 21
2004-01-01 21
2004-04-01 22
2004-07-01 26
2004-10-01 29
2005-01-01 24
2005-04-01 18
2005-07-01 14
2005-10-01 19
2006-01-01 17
2006-04-01 25
2006-07-01 30
2006-10-01 23
2007-01-01 18
2007-04-01 21
2007-07-01 17
2007-10-01 25
2008-01-01 23
2008-04-01 32
2008-07-01 31
2008-10-01 28
2009-01-01 24
2009-04-01 32
2009-07-01 27
2009-10-01 25
2010-01-01 24
2010-04-01 30
2010-07-01 31
2010-10-01 31
2011-01-01 32
2011-04-01 29
2011-07-01 27
2011-10-01 25
2011-12-01 28
