# these files were generated automatically, all changes will be lost
# Guido van Rossum, Fred Drake, Georg Brandl, Benjamin Peterson, Raymond Hettinger, Jack Jansen
date commits1 commits2 commits3 commits4 commits5 commits6
1990-08-01 1 0 0 0 0 0
1990-09-01 2 0 0 0 0 0
1990-10-01 55 0 0 0 0 0
1990-11-01 28 0 0 0 0 0
1990-12-01 19 0 0 0 0 0
1991-01-01 31 0 0 0 0 0
1991-02-01 18 0 0 0 0 0
1991-03-01 5 0 0 0 0 0
1991-04-01 63 0 0 0 0 0
1991-05-01 29 0 0 0 0 0
1991-06-01 45 0 0 0 0 0
1991-07-01 32 0 0 0 0 0
1991-08-01 39 0 0 0 0 0
1991-09-01 16 0 0 0 0 0
1991-10-01 29 0 0 0 0 0
1991-11-01 43 0 0 0 0 0
1991-12-01 95 0 0 0 0 0
1992-01-01 107 0 0 0 0 0
1992-02-01 25 0 0 0 0 0
1992-03-01 100 0 0 0 0 0
1992-04-01 66 0 0 0 0 0
1992-05-01 29 0 0 0 0 0
1992-06-01 31 0 0 0 0 0
1992-07-01 11 0 0 0 0 0
1992-08-01 79 0 0 0 0 4
1992-09-01 63 0 0 0 0 0
1992-10-01 8 0 0 0 0 0
1992-11-01 14 0 0 0 0 0
1992-12-01 73 0 0 0 0 3
1993-01-01 10 0 0 0 0 10
1993-02-01 21 0 0 0 0 17
1993-03-01 13 0 0 0 0 0
1993-04-01 9 0 0 0 0 0
1993-05-01 21 0 0 0 0 1
1993-06-01 18 0 0 0 0 5
1993-07-01 11 0 0 0 0 3
1993-08-01 0 0 0 0 0 0
1993-09-01 0 0 0 0 0 4
1993-10-01 27 0 0 0 0 0
1993-11-01 35 0 0 0 0 0
1993-12-01 35 0 0 0 0 0
1994-01-01 69 0 0 0 0 0
1994-02-01 24 0 0 0 0 0
1994-03-01 12 0 0 0 0 0
1994-04-01 20 0 0 0 0 0
1994-05-01 59 0 0 0 0 0
1994-06-01 38 0 0 0 0 1
1994-07-01 43 0 0 0 0 0
1994-08-01 116 0 0 0 0 0
1994-09-01 53 0 0 0 0 0
1994-10-01 68 0 0 0 0 0
1994-11-01 18 0 0 0 0 0
1994-12-01 5 0 0 0 0 18
1995-01-01 191 0 0 0 0 32
1995-02-01 146 0 0 0 0 32
1995-03-01 142 0 0 0 0 5
1995-04-01 64 0 0 0 0 5
1995-05-01 10 0 0 0 0 3
1995-06-01 46 0 0 0 0 28
1995-07-01 59 0 0 0 0 20
1995-08-01 92 0 0 0 0 73
1995-09-01 66 0 0 0 0 11
1995-10-01 51 0 0 0 0 47
1995-11-01 0 0 0 0 0 41
1995-12-01 2 0 0 0 0 15
1996-01-01 45 0 0 0 0 23
1996-02-01 27 0 0 0 0 24
1996-03-01 14 0 0 0 0 33
1996-04-01 12 0 0 0 0 45
1996-05-01 97 0 0 0 0 19
1996-06-01 83 0 0 0 0 0
1996-07-01 141 1 0 0 0 11
1996-08-01 205 0 0 0 0 57
1996-09-01 91 6 0 0 0 55
1996-10-01 100 25 0 0 0 38
1996-11-01 32 7 0 0 0 16
1996-12-01 114 15 0 0 0 10
1997-01-01 130 3 0 0 0 16
1997-02-01 52 0 0 0 0 16
1997-03-01 64 2 0 0 0 0
1997-04-01 149 6 0 0 0 13
1997-05-01 233 3 0 0 0 35
1997-06-01 50 9 0 0 0 21
1997-07-01 149 8 0 0 0 1
1997-08-01 229 4 0 0 0 31
1997-09-01 115 5 0 0 0 25
1997-10-01 129 28 0 0 0 13
1997-11-01 115 6 0 0 0 0
1997-12-01 211 97 0 0 0 3
1998-01-01 45 97 0 0 0 10
1998-02-01 85 178 0 0 0 27
1998-03-01 78 158 0 0 0 2
1998-04-01 165 221 0 0 0 37
1998-05-01 131 107 0 0 0 7
1998-06-01 125 7 0 0 0 8
1998-07-01 92 64 0 0 0 25
1998-08-01 127 96 0 0 0 20
1998-09-01 68 9 0 0 0 6
1998-10-01 165 24 0 0 0 9
1998-11-01 25 56 0 0 0 1
1998-12-01 99 44 0 0 0 0
1999-01-01 129 100 0 0 0 30
1999-02-01 84 129 0 0 0 26
1999-03-01 83 65 0 0 0 14
1999-04-01 108 158 0 0 0 5
1999-05-01 29 44 0 0 0 0
1999-06-01 100 81 0 0 0 5
1999-07-01 13 48 0 0 0 1
1999-08-01 27 39 0 0 0 3
1999-09-01 23 22 0 0 0 9
1999-10-01 26 18 0 0 0 3
1999-11-01 31 25 0 0 0 2
1999-12-01 28 26 0 0 0 52
2000-01-01 13 1 0 0 0 12
2000-02-01 77 26 0 0 0 4
2000-03-01 144 17 0 0 0 13
2000-04-01 104 92 0 0 0 27
2000-05-01 74 39 0 0 0 33
2000-06-01 60 91 0 0 0 38
2000-07-01 26 102 0 0 0 44
2000-08-01 32 140 0 0 0 44
2000-09-01 96 185 0 0 0 45
2000-10-01 38 185 0 0 0 32
2000-11-01 19 40 0 0 0 9
2000-12-01 50 55 0 0 0 37
2001-01-01 138 78 0 0 0 101
2001-02-01 20 93 0 0 0 58
2001-03-01 61 94 0 0 0 47
2001-04-01 83 98 0 0 0 13
2001-05-01 25 165 0 0 0 32
2001-06-01 21 91 0 0 0 25
2001-07-01 45 170 0 0 0 40
2001-08-01 156 93 0 0 0 127
2001-09-01 126 105 0 0 0 53
2001-10-01 138 137 0 0 0 27
2001-11-01 10 81 0 0 0 25
2001-12-01 82 128 0 0 0 52
2002-01-01 9 53 0 0 0 42
2002-02-01 19 32 0 0 0 44
2002-03-01 24 91 0 0 0 84
2002-04-01 65 151 0 0 0 34
2002-05-01 30 72 0 0 44 20
2002-06-01 102 89 0 0 43 22
2002-07-01 44 55 0 0 0 15
2002-08-01 154 55 0 0 47 94
2002-09-01 70 40 0 0 29 32
2002-10-01 75 111 0 0 52 16
2002-11-01 24 55 0 0 18 28
2002-12-01 42 34 0 0 38 73
2003-01-01 83 28 0 0 59 54
2003-02-01 91 12 0 0 29 96
2003-03-01 24 14 0 0 21 75
2003-04-01 60 48 0 0 29 32
2003-05-01 13 32 0 0 54 23
2003-06-01 17 23 0 0 58 35
2003-07-01 0 79 0 0 40 20
2003-08-01 0 14 0 0 80 4
2003-09-01 1 81 0 0 105 2
2003-10-01 9 25 0 0 38 0
2003-11-01 16 6 0 0 43 47
2003-12-01 5 54 0 0 60 14
2004-01-01 0 31 0 0 21 7
2004-02-01 2 29 0 0 40 7
2004-03-01 9 29 0 0 60 4
2004-04-01 0 25 0 0 22 0
2004-05-01 4 43 0 0 35 0
2004-06-01 1 23 0 0 42 16
2004-07-01 6 23 0 0 56 23
2004-08-01 0 28 0 0 51 0
2004-09-01 0 9 0 0 55 0
2004-10-01 1 10 0 0 28 0
2004-11-01 0 43 0 0 27 0
2004-12-01 0 13 0 0 61 13
2005-01-01 3 26 0 0 27 27
2005-02-01 7 11 0 0 29 0
2005-03-01 0 23 0 0 25 0
2005-04-01 1 2 0 0 31 3
2005-05-01 0 4 0 0 12 0
2005-06-01 0 2 58 0 27 9
2005-07-01 3 6 57 0 17 8
2005-08-01 0 5 71 0 49 0
2005-09-01 11 9 50 0 16 3
2005-10-01 2 9 6 0 9 0
2005-11-01 0 5 19 0 0 1
2005-12-01 0 2 44 0 0 0
2006-01-01 0 4 69 0 0 0
2006-02-01 7 2 68 0 0 6
2006-03-01 14 5 70 0 12 0
2006-04-01 13 13 62 0 0 1
2006-05-01 7 12 80 0 0 0
2006-06-01 0 20 42 0 0 0
2006-07-01 1 19 38 0 0 0
2006-08-01 55 2 50 0 0 0
2006-09-01 2 7 61 0 3 0
2006-10-01 2 3 72 0 0 0
2006-11-01 5 0 24 0 2 0
2006-12-01 2 2 13 0 12 0
2007-01-01 23 3 22 0 9 0
2007-02-01 62 1 22 0 33 0
2007-03-01 27 1 145 0 12 0
2007-04-01 46 3 34 0 16 0
2007-05-01 120 2 27 0 8 0
2007-06-01 41 0 22 0 0 0
2007-07-01 105 0 33 0 2 0
2007-08-01 211 0 89 0 0 0
2007-09-01 22 2 71 0 4 0
2007-10-01 51 6 46 0 23 0
2007-11-01 54 1 38 0 15 0
2007-12-01 28 1 72 0 24 0
2008-01-01 46 2 156 0 99 0
2008-02-01 9 4 74 0 103 0
